=== wgrib2 DRT 3 Inspection Output ===
File: test_data/nam_awip12_drt3.grib2
Date: Thu Jul 23 02:15:14 AM EDT 2026

=== Data Representation Template (DRT) Information ===
1:0:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
2:240117:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
3:481603:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
4:488896:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
5:514058:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
6:608925:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
7:622096:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
8:742946:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
9:958064:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
10:1173114:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
11:1486527:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
12:1720967:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
13.1:2028376:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
13.2:2028376:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
14:2438905:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
15:2651845:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
16:2740572:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
17:2896012:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
18:2937856:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
19:3103216:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
20:3103435:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
21.1:3502036:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
21.2:3502036:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
22:3788921:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
23:3950616:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
