1:0:d=2026072300:PRMSL:mean sea level:anl:
2:261724:d=2026072300:CLMR:1 hybrid level:anl:
3:299946:d=2026072300:ICMR:1 hybrid level:anl:
4:364192:d=2026072300:RWMR:1 hybrid level:anl:
5:443562:d=2026072300:SNMR:1 hybrid level:anl:
6:472872:d=2026072300:GRLE:1 hybrid level:anl:
7:490617:d=2026072300:REFD:1 hybrid level:anl:
8:737973:d=2026072300:REFD:2 hybrid level:anl:
9:985195:d=2026072300:REFC:entire atmosphere:anl:
10:1258544:d=2026072300:VIS:surface:anl:
11:1468777:d=2026072300:UGRD:planetary boundary layer:anl:
12:1657128:d=2026072300:VGRD:planetary boundary layer:anl:
13:1846775:d=2026072300:VRATE:planetary boundary layer:anl:
14:1946009:d=2026072300:GUST:surface:anl:
15:2137448:d=2026072300:HGT:0.01 mb:anl:
16:2430141:d=2026072300:TMP:0.01 mb:anl:
17:2635526:d=2026072300:RH:0.01 mb:anl:
18:2644336:d=2026072300:SPFH:0.01 mb:anl:
19:2948807:d=2026072300:VVEL:0.01 mb:anl:
20:3266053:d=2026072300:DZDT:0.01 mb:anl:
21:3598508:d=2026072300:UGRD:0.01 mb:anl:
22:3810383:d=2026072300:VGRD:0.01 mb:anl:
23:3995668:d=2026072300:ABSV:0.01 mb:anl:
24:4210032:d=2026072300:O3MR:0.01 mb:anl:
25:4512268:d=2026072300:HGT:0.02 mb:anl:
26:4798231:d=2026072300:TMP:0.02 mb:anl:
27:5064465:d=2026072300:RH:0.02 mb:anl:
28:5075534:d=2026072300:SPFH:0.02 mb:anl:
29:5394560:d=2026072300:VVEL:0.02 mb:anl:
30:5782321:d=2026072300:DZDT:0.02 mb:anl:
31:6096487:d=2026072300:UGRD:0.02 mb:anl:
32:6321074:d=2026072300:VGRD:0.02 mb:anl:
33:6520825:d=2026072300:ABSV:0.02 mb:anl:
34:6767075:d=2026072300:O3MR:0.02 mb:anl:
35:7101666:d=2026072300:HGT:0.04 mb:anl:
36:7368632:d=2026072300:TMP:0.04 mb:anl:
37:7649402:d=2026072300:RH:0.04 mb:anl:
38:7651676:d=2026072300:SPFH:0.04 mb:anl:
39:7967628:d=2026072300:VVEL:0.04 mb:anl:
40:8293694:d=2026072300:DZDT:0.04 mb:anl:
41:8625328:d=2026072300:UGRD:0.04 mb:anl:
42:8835140:d=2026072300:VGRD:0.04 mb:anl:
43:9031492:d=2026072300:ABSV:0.04 mb:anl:
44:9296013:d=2026072300:O3MR:0.04 mb:anl:
45:9612917:d=2026072300:HGT:0.07 mb:anl:
46:9881219:d=2026072300:TMP:0.07 mb:anl:
47:10157187:d=2026072300:RH:0.07 mb:anl:
48:10157441:d=2026072300:SPFH:0.07 mb:anl:
49:10453622:d=2026072300:VVEL:0.07 mb:anl:
50:10798618:d=2026072300:DZDT:0.07 mb:anl:
51:11122530:d=2026072300:UGRD:0.07 mb:anl:
52:11336698:d=2026072300:VGRD:0.07 mb:anl:
53:11534368:d=2026072300:ABSV:0.07 mb:anl:
54:11791170:d=2026072300:O3MR:0.07 mb:anl:
55:12112497:d=2026072300:HGT:0.1 mb:anl:
56:12381049:d=2026072300:TMP:0.1 mb:anl:
57:12648626:d=2026072300:RH:0.1 mb:anl:
58:12648836:d=2026072300:SPFH:0.1 mb:anl:
59:12934004:d=2026072300:VVEL:0.1 mb:anl:
60:13287886:d=2026072300:DZDT:0.1 mb:anl:
61:13605813:d=2026072300:UGRD:0.1 mb:anl:
62:13816319:d=2026072300:VGRD:0.1 mb:anl:
63:14007515:d=2026072300:ABSV:0.1 mb:anl:
64:14253280:d=2026072300:O3MR:0.1 mb:anl:
65:14537322:d=2026072300:HGT:0.2 mb:anl:
66:14796148:d=2026072300:TMP:0.2 mb:anl:
67:15060199:d=2026072300:RH:0.2 mb:anl:
68:15060409:d=2026072300:SPFH:0.2 mb:anl:
69:15347018:d=2026072300:VVEL:0.2 mb:anl:
70:15693465:d=2026072300:DZDT:0.2 mb:anl:
71:16008241:d=2026072300:UGRD:0.2 mb:anl:
72:16205751:d=2026072300:VGRD:0.2 mb:anl:
73:16383147:d=2026072300:ABSV:0.2 mb:anl:
74:16609757:d=2026072300:O3MR:0.2 mb:anl:
75:16913563:d=2026072300:HGT:0.4 mb:anl:
76:17164827:d=2026072300:TMP:0.4 mb:anl:
77:17424651:d=2026072300:RH:0.4 mb:anl:
78:17424861:d=2026072300:SPFH:0.4 mb:anl:
79:17712224:d=2026072300:VVEL:0.4 mb:anl:
80:18002307:d=2026072300:DZDT:0.4 mb:anl:
81:18306281:d=2026072300:UGRD:0.4 mb:anl:
82:18600979:d=2026072300:VGRD:0.4 mb:anl:
83:18867299:d=2026072300:ABSV:0.4 mb:anl:
84:19073090:d=2026072300:O3MR:0.4 mb:anl:
85:19386856:d=2026072300:HGT:0.7 mb:anl:
86:19629999:d=2026072300:TMP:0.7 mb:anl:
87:19887726:d=2026072300:RH:0.7 mb:anl:
88:19887936:d=2026072300:SPFH:0.7 mb:anl:
89:20168794:d=2026072300:VVEL:0.7 mb:anl:
90:20472096:d=2026072300:DZDT:0.7 mb:anl:
91:20764929:d=2026072300:UGRD:0.7 mb:anl:
92:21053983:d=2026072300:VGRD:0.7 mb:anl:
93:21315367:d=2026072300:ABSV:0.7 mb:anl:
94:21512186:d=2026072300:O3MR:0.7 mb:anl:
95:21840742:d=2026072300:HGT:1 mb:anl:
96:22079921:d=2026072300:TMP:1 mb:anl:
97:22335921:d=2026072300:RH:1 mb:anl:
98:22336131:d=2026072300:SPFH:1 mb:anl:
99:22613967:d=2026072300:VVEL:1 mb:anl:
100:22927517:d=2026072300:DZDT:1 mb:anl:
101:23211805:d=2026072300:UGRD:1 mb:anl:
102:23391770:d=2026072300:VGRD:1 mb:anl:
103:23550786:d=2026072300:ABSV:1 mb:anl:
104:23743282:d=2026072300:O3MR:1 mb:anl:
105:23980119:d=2026072300:HGT:2 mb:anl:
106:24208572:d=2026072300:TMP:2 mb:anl:
107:24466581:d=2026072300:RH:2 mb:anl:
108:24467438:d=2026072300:SPFH:2 mb:anl:
109:24753383:d=2026072300:VVEL:2 mb:anl:
110:25089295:d=2026072300:DZDT:2 mb:anl:
111:25362939:d=2026072300:UGRD:2 mb:anl:
112:25646886:d=2026072300:VGRD:2 mb:anl:
113:25901972:d=2026072300:ABSV:2 mb:anl:
114:26090726:d=2026072300:O3MR:2 mb:anl:
115:26331763:d=2026072300:HGT:3 mb:anl:
116:26553576:d=2026072300:TMP:3 mb:anl:
